台灣頻道,#genre#
●龍華電影,http://220.134.196.147:9501/index.m3u8
龍華日韓,http://220.134.196.147:9501/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
龍華日韓,http://220.134.196.147:9501/http/60.251.39.91:8081/hls/210/10010/cstv10.m3u8
龍華日韓,http://220.134.196.147:9501/http/61.221.81.94:8088/hls/70/812/ch37.m3u8
龍華日韓,http://220.134.196.147:9501/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
11龍華電影,http://220.134.196.147:9504/index.m3u8
龍華電影,http://220.134.196.147:9504/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
龍華電影,http://220.134.196.147:9504/http/60.251.39.91:8081/hls/210/10010/cstv10.m3u8
龍華電影,http://220.134.196.147:9504/http/61.221.81.94:8088/hls/70/812/ch37.m3u8
龍華電影,http://220.134.196.147:9504/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
11壹新聞,http://220.134.196.147:9510/index.m3u8
壹新聞,http://220.134.196.147:9510/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
壹新聞,http://220.134.196.147:9510/http/60.251.39.91:8081/hls/210/10010/cstv10.m3u8
壹新聞,http://220.134.196.147:9510/http/61.221.81.94:8088/hls/70/812/ch37.m3u8
龍華電影,http://220.134.196.147:9510/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
11衛視中文台,http://220.134.196.147:9554/index.m3u8
衛視中文台,http://220.134.196.147:9554/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
龍華日韓,http://220.134.196.147:9554/http/60.251.39.91:8081/hls/210/10010/cstv10.m3u8
龍華日韓,http://220.134.196.147:9554/http/61.221.81.94:8088/hls/70/812/ch37.m3u8
衛視中文台,http://220.134.196.147:9554/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
11東森新聞,http://220.134.196.147:9541/index.m3u8
1111,http://220.134.196.147:9541/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
東森新聞,http://220.134.196.147:9541/http/60.251.39.91:8081/hls/210/10010/cstv10.m3u8
東森新聞,http://220.134.196.147:9541/http/61.221.81.94:8088/hls/70/812/ch37.m3u8
東森新聞,http://220.134.196.147:9541/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
寰宇新闻,http://220.134.196.147:9509/index.m3u8
123,http://220.134.196.147:9561/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
456,http://220.134.196.147:9561/http/60.251.39.91:8081/hls/210/10010/cstv10.m3u8
789,http://220.134.196.147:9561/http/61.221.81.94:8088/hls/70/812/ch37.m3u8
210,http://220.134.196.147:9561/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
東森綜合,http://220.134.196.147:9553/index.m3u8
HBO,http://220.134.196.147:9557/index.m3u8
動物星球,http://220.134.196.147:9566/index.m3u8
民視,http://220.134.196.147:9574/index.m3u8
台視,http://220.134.196.147:9577/index.m3u8
